Link,Title Screening (Passed or not),Comment on Title Screening (Always needed if excluded),Abstract Screening (Passed or not),Comment on Abstract Screening,Year,KEYWORDS: Topics (Focus Area),CLEAN KEYWORDS: Topics (Focus Area),KEYWORDS: Types of research,CLEAN KEYWORDS: Types of research,KEYWORDS: Type of Organization (Determined by association of main researcher)
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10983192/,Included,,Excluded,No direct application,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11065466/,Excluded,Theoretical,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10833575/,Excluded,Theoretical,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11009153/,Excluded,No LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10742575/,Included,,Included,,2024,"Large-Scale Traffic Flow Forecast (Cars, not cloud), Intelligent Transportation Systems (ITS)",Transportation,"Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11119366/,Excluded,No LLM,Excluded,,2024,Cybersecurity in Edge-cloud,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10260246/,Excluded,No LLM and cloud computing,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10720312/,Included,,Included,,2025,Edge-computing with integrated LLM,Edgecentric ,"Solution Proposal, Evaluation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10468005/,Excluded,No LLM,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10561638/,Excluded,No LLM,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11175216/,Included,,Included,,2025,Edge-computing with integrated LLM,Edgecentric ,Survey Research,Survey Research,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10708374/,Excluded,No mention of LLM or cloud computing,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11105349/,Included,Unsure about the title ,Included,,2025,LLMs for Privacy-Preserving BI / Data Security,Trustworthy IT Systems and Networking,Validation Research,Validation Research,Industrial research
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10827595/,Included,,Excluded,No direct industrial application,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10974497/,Excluded,Too broad,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10993106/,Excluded,No cloud computing ,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10904297/,Excluded,No mention about cloud computing,Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10761764/,Included,,Excluded,No direct industry application,2024,"GPT Applications in Power Systems, Digital Transformation and Industrial AI Integration",,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11044394/,Excluded,Too broad and no mention of cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11119055/,Excluded,No meantion of LLM,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10871706/,Included,Implies that cloud computing is involved with clinical infrastucture ,Included,,2024,"LLMs in Healthcare Systems, Multimodal Support and Telecom Automation",Healthcare,Evaluation Research,Evaluation Research,Industrial research
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10244248/,Excluded,"No LLM, no cloud computing",Excluded,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11146314/,Included,,Excluded,No direct industry application,2025,"LLMs for Cloud–Edge–IoT Monitoring, Metric Reasoning and Causality Detection",,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10850044/,Excluded,Mention small language models,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10620716/,Included,,Excluded,No direct industry application,2025,"LLMs for Time Series Generation in Edge Intelligence, Cloud–Edge Collaboration",,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10669603/,Included,,Included,,2024,"LLMs in Edge Intelligence, Architecture Review and Security Considerations","Edgecentric, Trustworthy IT Systems and Networking",Survey Research,Survey Research,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/11052266/,Included,,Included,,2025,"LLMs in Edge Networks, MARL and Game-Theoretic Defense Against Communication Attacks","Edgecentric, Trustworthy IT Systems and Networking","Solution Proposal, Validation Research","Solution Proposal, Validation Research",University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10948557/,Excluded,"A guide, not research focused",,,2024,"LLMs in Vehicular Sensing, Cloud–Edge Architecture and Multi-Agent Collaboration",,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10811144/,Excluded,No LLMs,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10935354/,Excluded,Don't mention LLMs or cloud computing,,,,,,,,
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10746320/,Included,,Included,,2024,"LLMs in Vehicular Sensing Systems, Cloud–Edge-End Architecture and Agentic Intelligence","Transportation, Cloud-Edge Collaboration",Solution Proposal,Solution Proposal,University
https://ieeexplore-ieee-org.ep.bib.mdh.se/document/10864104/,Excluded,N mention of LLM,Excluded,,,,,,,
